timestamp,date,tic,day,open,high,low,close,volume
1475,2021-11-20,BTCUSDT,5,58057.1,59845.0,57353.0,59707.51,33811.5901
1475,2021-11-20,ETHUSDT,5,4294.75,4435.88,4199.86,4412.17,365584.578
1476,2021-11-21,BNBUSDT,6,604.4,605.2,579.6,584.0,970133.807
1476,2021-11-21,BTCUSDT,6,59707.52,60029.76,58486.65,58622.02,31902.22785
1476,2021-11-21,ETHUSDT,6,4412.17,4451.0,4242.41,4258.31,340206.3203
1477,2021-11-22,BNBUSDT,0,584.0,585.5,553.8,559.3,1141002.755
1477,2021-11-22,BTCUSDT,0,58617.7,59444.0,55610.0,56247.18,51724.32047
1477,2021-11-22,ETHUSDT,0,4259.7,4320.0,4022.74,4085.97,518501.3338
1478,2021-11-23,BNBUSDT,1,559.4,605.0,557.9,591.1,1202541.917
1478,2021-11-23,BTCUSDT,1,56243.83,58009.99,55317.0,57541.27,49917.85017
1478,2021-11-23,ETHUSDT,1,4086.28,4385.59,4059.62,4339.44,502811.7902
1479,2021-11-24,BNBUSDT,2,591.1,594.3,576.8,590.3,1079667.803
1479,2021-11-24,BTCUSDT,2,57541.26,57735.0,55837.0,57138.29,39612.04964
1479,2021-11-24,ETHUSDT,2,4339.45,4373.94,4167.65,4269.36,448727.0306
1480,2021-11-25,BNBUSDT,3,590.4,650.0,587.4,639.1,1536194.042
1480,2021-11-25,BTCUSDT,3,57138.29,59398.9,57000.0,58960.36,42153.51522
1480,2021-11-25,ETHUSDT,3,4270.1,4550.0,4248.27,4524.85,445868.2434
1481,2021-11-26,BNBUSDT,4,639.1,657.9,564.2,587.3,2413553.439
1481,2021-11-26,BTCUSDT,4,58960.37,59150.0,53500.0,53726.53,65927.87066
1481,2021-11-26,ETHUSDT,4,4524.48,4551.0,3913.0,4041.2,720245.1612
1482,2021-11-27,BNBUSDT,5,587.2,621.3,582.6,599.9,1183849.36
1482,2021-11-27,BTCUSDT,5,53723.72,55280.0,53610.0,54721.03,29716.99957
1482,2021-11-27,ETHUSDT,5,4041.2,4183.66,4028.34,4095.29,275326.5202
1483,2021-11-28,BNBUSDT,6,599.9,612.9,571.6,611.3,1281130.351
1483,2021-11-28,BTCUSDT,6,54716.47,57445.05,53256.64,57274.88,36163.7137
1483,2021-11-28,ETHUSDT,6,4095.29,4298.51,3964.0,4294.78,346471.3551
1484,2021-11-29,BNBUSDT,0,611.4,629.0,601.6,623.4,1090520.864
1484,2021-11-29,BTCUSDT,0,57274.89,58865.97,56666.67,57776.25,40125.28009
1484,2021-11-29,ETHUSDT,0,4294.77,4458.92,4276.89,4444.53,406881.2284
1485,2021-11-30,BNBUSDT,1,623.5,635.0,602.6,622.5,1380656.205
1485,2021-11-30,BTCUSDT,1,57776.25,59176.99,55875.55,56950.56,49161.05194
1485,2021-11-30,ETHUSDT,1,4444.54,4753.0,4346.36,4630.26,743024.4662
1486,2021-12-01,BNBUSDT,2,622.5,649.8,618.2,627.5,1384101.087
1486,2021-12-01,BTCUSDT,2,56950.56,59053.55,56458.01,57184.07,44956.63656
1486,2021-12-01,ETHUSDT,2,4630.25,4778.75,4523.99,4582.95,508198.3105
1487,2021-12-02,BNBUSDT,3,627.5,630.9,605.5,619.9,1104596.881
1487,2021-12-02,BTCUSDT,3,57184.07,57375.47,55777.77,56480.34,37574.05976
1487,2021-12-02,ETHUSDT,3,4582.95,4634.83,4433.0,4511.21,451861.9545
1488,2021-12-03,BNBUSDT,4,619.9,628.0,574.0,595.0,1250950.167
1488,2021-12-03,BTCUSDT,4,56484.26,57600.0,51680.0,53601.05,58927.69027
1488,2021-12-03,ETHUSDT,4,4511.35,4654.88,4032.5,4215.73,677974.8659
1489,2021-12-04,BNBUSDT,5,595.1,596.0,489.2,568.6,2611783.647
1489,2021-12-04,BTCUSDT,5,53601.05,53859.1,42000.3,49152.47,114203.373748
1489,2021-12-04,ETHUSDT,5,4215.01,4238.59,3503.68,4117.25,1111773.1451
1490,2021-12-05,BNBUSDT,6,568.5,582.0,539.9,557.8,1258393.72
1490,2021-12-05,BTCUSDT,6,49152.46,49699.05,47727.21,49396.33,45580.82012
1490,2021-12-05,ETHUSDT,6,4117.25,4248.19,4031.39,4196.44,536325.4413
1491,2021-12-06,BNBUSDT,0,557.7,593.0,533.0,587.5,2005928.932
